CrashID,CrashMasterFile,Lat,Long,rtunique,CurvePresent,GradePresent,BadVisibility,BadWeather,WetRdway,VOSh,Congestion,Speed,Sphr,P_N,VehicleDefect,WorkZone,Animal/Debris,SlipperySurf/WaterPooling,Impaired,Dstracted,Inattention,DrivingTooFast,RightOfWay,ImproperManeuver,FollowTooClose
10126,72261599,38.67776,-84.60189,041-I-0075-010,1,0,0,0,0,0,0,59.93,No,No,0,0,0,0,0,0,0,0,0,1,0
10127,72261603,37.15539,-85.97095,005-I-0065-010,1,1,1,0,0,0,0,66.72,No,No,0,0,0,0,1,0,0,0,0,0,0
10128,72261613,39.02776,-84.54337,059-I-0275-010,0,1,1,0,0,1,0,54.78,No,No,0,0,0,0,1,1,0,0,0,0,0
10129,72261618,37.57667,-87.48145,117-I-0069-000,0,0,1,0,1,1,0,69.59,No,No,0,0,0,0,0,0,1,0,0,0,0
10130,72261621,39.02312,-84.51938,059-I-0275-010,0,0,1,0,0,0,0,62.71,No,No,0,0,0,0,0,0,1,0,0,0,0
10132,72261636,38.22395,-85.53995,056-I-0064-010,0,1,0,0,0,1,0,65.24,No,No,0,0,0,0,0,0,0,0,0,0,0
10133,72261650,39.08978,-84.52269,059-I-0075-010,0,0,1,0,0,0,,,Yes,,0,0,0,0,0,0,0,0,0,0,1
10134,72261653,37.87983,-84.33404,076-I-0075-000,1,1,0,1,1,0,0,57.93,No,No,0,0,0,1,0,0,0,0,0,0,0
10135,72261716,38.38412,-84.57328,105-I-0075-010,0,0,0,0,0,0,0,68.9,No,No,0,0,0,0,0,0,0,0,0,0,0
10136,72261718,38.23877,-85.75307,056-I-0065-000,1,0,1,0,0,0,1,22.93,No,No,0,0,0,0,0,0,1,0,0,0,0
10139,72261731,38.4244,-85.3294,093-I-0071-010,0,0,1,0,0,0,0,68.06,No,No,0,0,1,0,0,0,0,0,0,0,0
10140,72261749,37.39765,-87.4759,054-I-0069-010,0,0,1,0,0,0,0,70.21,No,No,0,0,1,0,0,0,0,0,0,0,0
